UniqID,Lat,Lon,SiteName,LabCode,Age,Error,Material,Reference,LEVEL2,L2Desc,calcurve
200558,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335466,3670,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200559,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335467,3660,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200560,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335468,3810,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200561,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335470,3910,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200562,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335471,3740,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200563,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335472,3620,30,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200564,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335473,3810,40,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200565,-22.5278,-41.9394,Sambaui de Tarioba,Beta-335474,3820,40,shell,Macario et al 2014,21.4,Atlantic Forests,marine20
200566,-28.8514,-52.2384,RS-T-123,Beta-343953,1040,30,Charcoal,Wolf et al. 2016,21.4,Atlantic Forests,tropics
200567,-28.8514,-52.2384,RS-T-123,Beta-343954,940,30,Charcoal,Wolf et al. 2016,21.4,Atlantic Forests,tropics
200572,-27.6414,-50.5993,SC-CL-46,Beta-351739,580,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200573,-27.6373,-50.6047,SC-CL-50,Beta-351740,910,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200574,-27.6372,-50.6064,SC-CL-51,Beta-351741,320,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200577,-27.6414,-50.5993,SC-CL-46,Beta-357346,510,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200578,-27.6368,-50.6111,SC-CL-52,Beta-357350,860,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200579,-27.6414,-50.5993,SC-CL-46,Beta-357351,610,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200580,-27.6414,-50.5993,SC-CL-46,Beta-357352,910,30,Charcoal,Schmitz et al. 2013,21.4,Atlantic Forests,tropics
200581,-24.0667,-48.6214,Areia Branca 6,Beta-35824,1530,40,,Araujo 2001,21.4,Atlantic Forests,tropics
200582,-29.2885,-52.1195,RS-T-114,Beta-367375,240,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200583,-24.7276,-48.9874,Bela Vista,Beta-368968,650,30,Charcoal,Almeida et al. 2017,21.4,Atlantic Forests,tropics
200584,-24.7276,-48.9874,Bela Vista,Beta-368969,550,30,Charcoal,Almeida et al. 2017,21.4,Atlantic Forests,tropics
200585,-24.7276,-48.9874,Bela Vista,Beta-368970,880,30,Charcoal,Almeida et al. 2017,21.4,Atlantic Forests,tropics
200586,-24.7297,-48.9841,Alto do Laranjal,Beta-368971,490,30,Charcoal,Almeida et al. 2017,21.4,Atlantic Forests,tropics
200587,-27.6414,-50.5993,SC-CL-46,Beta-370819,690,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200588,-27.6368,-50.6111,SC-CL-52,Beta-370820,960,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200589,-27.6405,-50.5975,SC-CL-45,Beta-370822,360,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200590,-27.6405,-50.5975,SC-CL-45,Beta-374021,320,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200591,-28.4283,-48.8294,Cabecuda,Beta-383565,2990,30,Human bone,Kneip et al. 2018,21.4,Atlantic Forests,tropics
200592,-28.4283,-48.8294,Cabecuda,Beta-383566,3030,30,Human bone,Kneip et al. 2018,21.4,Atlantic Forests,tropics
200593,-28.4283,-48.8294,Cabecuda,Beta-383567,2920,30,Human bone,Kneip et al. 2018,21.4,Atlantic Forests,tropics
200594,-28.48,-48.78,Pedra Chata,Beta-383570,2040,30,,Kneip et al. 2018,21.4,Atlantic Forests,tropics
200597,-28.8514,-52.2384,RS-T-123,Beta-385781,970,30,Charcoal,Wolf et al. 2016,21.4,Atlantic Forests,tropics
200598,-28.8139,-52.2551,RS-T-126,Beta-385782,1140,30,Charcoal,Wolf et al. 2016,21.4,Atlantic Forests,tropics
200599,-29.2885,-52.1195,RS-T-114,Beta-388512,410,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200600,-29.2885,-52.1195,RS-T-114,Beta-388513,350,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200601,-29.2885,-52.1195,RS-T-114,Beta-388514,260,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200602,-29.2885,-52.1195,RS-T-114,Beta-388515,490,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200609,-27.7199,-49.3926,Tobias Wagner,Beta-410430,330,30,Charcoal,Reis 2015,21.4,Atlantic Forests,tropics
